DEBUG 2024-05-23 11:48:06,860 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\ctypes\_endian.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,862 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1710989855.510063
DEBUG 2024-05-23 11:48:06,870 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,874 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\DLLs\_lzma.pyd first seen with mtime 1680674676.0
DEBUG 2024-05-23 11:48:06,880 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\contextlib.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,882 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\test\client.py first seen with mtime 1710989855.9522908
DEBUG 2024-05-23 11:48:06,884 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,887 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1710989854.8702965
DEBUG 2024-05-23 11:48:06,890 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1710989854.6759276
DEBUG 2024-05-23 11:48:06,892 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1710989856.035541
DEBUG 2024-05-23 11:48:06,895 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\functools.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,899 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1710989854.8415122
DEBUG 2024-05-23 11:48:06,901 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\heapq.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,905 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\argparse.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,907 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\hashlib.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,908 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1710989855.9335904
DEBUG 2024-05-23 11:48:06,910 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1710989842.1910822
DEBUG 2024-05-23 11:48:06,912 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1710989854.7390256
DEBUG 2024-05-23 11:48:06,915 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\glob.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,916 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\gettext.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,923 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\__init__.py first seen with mtime 1710989842.174513
DEBUG 2024-05-23 11:48:06,925 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1710989851.464637
DEBUG 2024-05-23 11:48:06,927 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\db\backends\postgresql\operations.py first seen with mtime 1710989855.258289
DEBUG 2024-05-23 11:48:06,930 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\urllib\request.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,931 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\contenttypes\__init__.py first seen with mtime 1710989847.1637497
DEBUG 2024-05-23 11:48:06,933 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\template\utils.py first seen with mtime 1710989855.8700647
DEBUG 2024-05-23 11:48:06,938 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\email\contentmanager.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,943 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1710989856.1612813
DEBUG 2024-05-23 11:48:06,947 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\test\signals.py first seen with mtime 1710989855.9654074
DEBUG 2024-05-23 11:48:06,949 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1710989842.1976783
DEBUG 2024-05-23 11:48:06,952 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1710989846.3119173
DEBUG 2024-05-23 11:48:06,957 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\email\_parseaddr.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,959 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1710989851.5964065
DEBUG 2024-05-23 11:48:06,962 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\secrets.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,963 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1710989855.9255297
DEBUG 2024-05-23 11:48:06,968 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\warnings.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,974 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1710989856.1753824
DEBUG 2024-05-23 11:48:06,976 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\email\parser.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,977 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1710989846.3068867
DEBUG 2024-05-23 11:48:06,980 utils (0.078) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."expire_date" > '2024-05-23T17:48:06.655110+00:00'::timestamptz AND "django_session"."session_key" = '92yg80ewn6gup5nko6exs6iw56e8pgl5') LIMIT 21; args=(datetime.datetime(2024, 5, 23, 17, 48, 6, 655110, tzinfo=datetime.timezone.utc), '92yg80ewn6gup5nko6exs6iw56e8pgl5'); alias=default
DEBUG 2024-05-23 11:48:06,981 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1710989855.8433218
DEBUG 2024-05-23 11:48:06,990 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\re\_casefix.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:06,995 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1710989840.372022
DEBUG 2024-05-23 11:48:06,997 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1710989854.7980187
DEBUG 2024-05-23 11:48:06,999 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1710989846.3310502
DEBUG 2024-05-23 11:48:07,004 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\DLLs\_queue.pyd first seen with mtime 1680674676.0
DEBUG 2024-05-23 11:48:07,006 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\rest_framework\fields.py first seen with mtime 1710989994.1643708
DEBUG 2024-05-23 11:48:07,009 autoreload File C:\Users\raven\AppData\Local\Programs\Python\Python311\Lib\html\__init__.py first seen with mtime 1680674650.0
DEBUG 2024-05-23 11:48:07,010 autoreload File C:\Users\raven\OneDrive\Escritorio\Coding\Personal_Projects\Task_Manager\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1710989845.5394757
